Date,Weight
2019-01-07,216.8
2019-01-08,216.8
2019-02-01,247.0
2019-02-18,247.0
2019-02-19,241.6
2019-02-20,242.8
2019-02-21,245.4
2019-02-22,242.2
2019-02-23,242.0
2019-02-25,247.0
2019-02-26,246.8
2019-02-27,245.0
2019-02-28,244.0
2019-03-01,244.0
2019-03-02,245.0
2019-03-03,245.4
2019-03-04,246.4
2019-03-05,247.0
2019-03-06,244.8
2019-03-07,242.6
2019-03-08,243.6
2019-03-09,243.2
2019-03-10,240.4
2019-03-12,242.4
2019-03-13,242.0
2019-03-20,240.4
2019-03-21,239.4
