date,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,weight
2019-03-05,1098.6,39.4,12.9,0.0,1.3,0.0,168.0,1570.0,300.0,82.4,2.9,37.5,100.5,3.0,2.8,31.0,77.6,244.8
2019-03-06,116.0,1.8,0.9,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,242.6
2019-03-07,580.0,28.0,13.6,1.0,4.0,0.0,30.0,534.0,254.0,32.0,2.0,2.0,48.5,8.0,6.0,4.0,7.0,243.6
2019-03-08,399.0,9.3,2.3,0.0,0.0,0.0,225.0,590.5,892.5,16.1,0.0,7.7,63.0,1.5,0.0,2.9,9.5,243.2
2019-03-09,775.0,17.5,4.5,0.0,1.3,0.0,77.5,1070.0,418.0,86.0,1.0,36.5,74.0,21.0,1.0,228.0,32.0,240.4
2019-03-11,301.0,10.0,3.9,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,242.4
2019-03-12,702.0,29.0,9.0,0.0,0.0,0.0,40.0,1222.0,0.0,62.0,2.0,4.0,46.0,8.0,0.0,30.0,20.0,242.0
2019-03-13,592.0,15.5,4.5,0.0,0.0,0.0,65.0,297.0,190.0,29.0,2.0,20.0,84.0,10.0,0.0,23.0,2.0,240.33709056398587
2019-03-18,495.0,8.0,5.0,0.0,1.3,0.0,32.5,460.0,390.0,86.0,1.0,40.5,20.0,53.0,51.0,30.0,50.0,239.58093553980396
2019-03-19,116.0,1.8,0.9,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,240.4
